seq_suggest,id,name,date,agency,province,budget,midPrice,bid,pct,entity,entity_raw,status,status_raw,plant,workType,fiscalYear,contractNo,signedOn,endsOn
183,68119132050,ซื้อวัสดุจราจร จำนวน 7 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-06,กรมทางหลวง,มหาสารคาม,,25226,25226,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/19,2568-11-06,2568-11-13
184,68119137138,ซื้อวัสดุก่อสร้าง จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-07,กรมทางหลวง,มหาสารคาม,,352800,352800,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/22,2568-11-07,2568-11-14
185,68119136665,ซื้อวัสดุก่อสร้าง จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-07,กรมทางหลวง,มหาสารคาม,,265400,265400,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/20,2568-11-07,2568-11-14
186,68119137239,ซื้อวัสดุก่อสร้าง จำนวน 3 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-07,กรมทางหลวง,มหาสารคาม,,112300,112300,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/23,2568-11-07,2568-11-14
187,68119168699,ซื้อวัสดุก่อสร้าง จำนวน 45 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-10,กรมทางหลวง,มหาสารคาม,,99180,99180,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/26,2568-11-10,2568-11-17
188,68119195380,ซื้อวัสดุก่อสร้าง จำนวน 5 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-11,กรมทางหลวง,มหาสารคาม,,183000,183000,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/28,2568-11-11,2568-11-18
189,68119195894,ซื้อวัสดุก่อสร้าง จำนวน 4 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-11,กรมทางหลวง,มหาสารคาม,,137700,137700,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/29,2568-11-11,2568-11-18
190,68119323942,ซื้อวัสดุไฟฟ้า จำนวน 12 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-18,กรมทางหลวง,มหาสารคาม,,489085,489085,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/45/69/30,2568-11-18,2568-11-25
191,68119329419,ซื้อวัสดุก่อสร้าง จำนวน 3 รายการ โดยวิธีเฉพาะเจาะจง,2568-11-19,กรมทางหลวง,มหาสารคาม,,229500,229500,,ห้างหุ้นส่วน RMN,ห้างหุ้นส่วนจำกัด อาร์เอ็มเอ็น เอ็นเตอร์ไพส์,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,622/60/69/32,2568-11-19,2568-11-26
192,68109409730,ประกวดราคาจ้างก่อสร้างโครงการบูรณะโครงข่ายทางหลวงเชื่อมโยงระหว่างภาค ปี 2569 รหัสงาน 28100 กิจกรรมบูรณะโครงข่ายทางหลวงเชื่อมโยงระหว่างภาค งานบูรณะโครงข่ายทางหลวงหมายเลข 202 ตอน ลำพังชู - ห้วยลำเตา ตอน 2 ระหว่าง กม.132+004 - กม.134+160 (RT.) ปริมาณงาน 1 แห่ง (2.156 กม.) ด้วยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),2568-12-01,กรมทางหลวง,มหาสารคาม,,24579463,24570000,,กิจการร่วมค้า รักดี,กิจการร่วมค้า รักดี,จัดทำสัญญาแล้ว,ระหว่างดำเนินการ,,,2569,มค.1/2569,2568-12-01,2569-03-01
